Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_male,Boruta,30,tqwt_TKEO_std_dec_12 (TQWT),0.008567948717948718,0.010520169339590848
baseline_male,Boruta,30,tqwt_entropy_log_dec_11 (TQWT),0.008257894736842103,0.008089040205865245
baseline_male,Boruta,30,tqwt_TKEO_mean_dec_13 (TQWT),0.008171428571428569,0.006451969865119886
baseline_male,Boruta,30,std_8th_delta_delta (MFCC),0.008011111111111113,0.005665181182043803
baseline_male,Boruta,30,std_4th_delta (MFCC),0.007870748299319726,0.005395534680593322
baseline_male,Boruta,30,tqwt_TKEO_mean_dec_11 (TQWT),0.007599537037037036,0.005523152274765934
baseline_male,Boruta,30,tqwt_TKEO_std_dec_13 (TQWT),0.007596825396825398,0.0063649170703293
baseline_male,Boruta,30,std_11th_delta_delta (MFCC),0.00748929049531459,0.00544281294929606
baseline_male,Boruta,30,tqwt_stdValue_dec_12 (TQWT),0.00722169312169312,0.008429139627478262
baseline_male,Boruta,30,tqwt_maxValue_dec_11 (TQWT),0.007113526570048307,0.009274477098591947
