Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,30,RandomForest,1,2,val,0.7888106377466154,0.9655172413793104,1.0,0.6666666666666666,0.8333333333333333,0.9411764705882353
male,mRMR,30,RandomForest,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,NeuralNetwork,1,2,val,0.672021505032247,0.9491525423728813,1.0,0.5,0.75,0.9117647058823529
male,mRMR,30,NeuralNetwork,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,NaiveBayes,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,30,NaiveBayes,1,2,train,0.635785911654108,0.9391304347826087,0.9473684210526315,0.6666666666666666,0.8070175438596491,0.8985507246376812
male,mRMR,30,LogisticRegression,1,2,val,0.4613110466630937,0.912280701754386,0.9285714285714286,0.5,0.7142857142857143,0.8529411764705882
male,mRMR,30,LogisticRegression,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,AdaBoost,1,2,val,0.5493502655735357,0.9310344827586207,0.9642857142857143,0.5,0.7321428571428572,0.8823529411764706
male,mRMR,30,AdaBoost,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,SVM_RBF,1,2,val,0.21216710619787638,0.8999999999999999,0.9642857142857143,0.16666666666666666,0.5654761904761905,0.8235294117647058
male,mRMR,30,SVM_RBF,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,RandomForest_TUNED,1,2,val,0.7888106377466154,0.9655172413793104,1.0,0.6666666666666666,0.8333333333333333,0.9411764705882353
male,mRMR,30,RandomForest_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,AdaBoost_TUNED,1,2,val,0.5493502655735357,0.9310344827586207,0.9642857142857143,0.5,0.7321428571428572,0.8823529411764706
male,mRMR,30,AdaBoost_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,NeuralNetwork_TUNED,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,30,NeuralNetwork_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,SVM_RBF_TUNED,1,2,val,0.0,0.9032258064516129,1.0,0.0,0.5,0.8235294117647058
male,mRMR,30,SVM_RBF_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,RandomForest,1,3,val,0.24346971907218834,0.8771929824561403,0.8928571428571429,0.3333333333333333,0.6130952380952381,0.7941176470588235
male,mRMR,30,RandomForest,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,NeuralNetwork,1,3,val,0.47075654176200415,0.888888888888889,0.8571428571428571,0.6666666666666666,0.7619047619047619,0.8235294117647058
male,mRMR,30,NeuralNetwork,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,NaiveBayes,1,3,val,0.47075654176200415,0.888888888888889,0.8571428571428571,0.6666666666666666,0.7619047619047619,0.8235294117647058
male,mRMR,30,NaiveBayes,1,3,train,0.6852521993899174,0.9259259259259259,0.8771929824561403,0.9166666666666666,0.8969298245614035,0.8840579710144928
male,mRMR,30,LogisticRegression,1,3,val,0.5275241065994879,0.9090909090909091,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8529411764705882
male,mRMR,30,LogisticRegression,1,3,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
